Product Name,Price,Rating,Features
Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,"₹37,490",4.6,"Annual Electricity Consumption: 1026.46 kWhRoom Size: 111 to 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor"
Godrej 4-Way Air Swing 2023 Model 2 Ton 3 Star Split with Anti-Dust Filter AC  - White,"₹45,490",3.9,Annual Electricity Consumption: 1215.35 kWhRoom Size: 151 to 200 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor
Voltas 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,"₹32,490",4.2,Annual Electricity Consumption: 975.26 kWhRoom Size: 111 to 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor
Lloyd 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,"₹32,990",4.2,Annual Electricity Consumption: 999.49 kWhRoom Size: 111 to 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
Voltas 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,"₹39,490",4.2,Annual Electricity Consumption: 751.28 kWhRoom Size: 111 to 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor
Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 4 Star Split Inverter 6th Sense Technology AC ...,"₹34,490",3.9,Annual Electricity Consumption: 854.16 kWhRoom Size: 111 to 150 sqft1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
Voltas 0.75 Ton 3 Star Split AC  - White,"₹24,973",4.1,Annual Electricity Consumption: 727.66 kWhRoom Size: 90 sqft or Below1 Year on Air Conditioner and 1 Year on Compressor
Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,"₹37,999",4.2,Annual Electricity Consumption: 966.47 kWhRoom Size: 111 to 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board)
Lloyd 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,"₹39,990",4.2,Annual Electricity Consumption: 794.34 kWhRoom Size: 111 to 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...","₹35,990",4.2,"Annual Electricity Consumption: 1002.84 kWhRoom Size: 111 to 150 sqft1 Year Warranty on Product, 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Excluding Remote Handset)"
Daikin 2023 Model 0.8 Ton 3 Star Split AC with PM 2.5 Filter  - White,"₹25,999",4.1,Annual Electricity Consumption: 548.84 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and 5 Years on Compressor
Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,"₹29,490",4.1,"Annual Electricity Consumption: 694.03 kWhRoom Size: 90 sqft or Below10 years warranty on Inverter compressor,5 years warranty on PCB &1 year comprehensive warranty."
SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,"₹42,500",4.1,Annual Electricity Consumption: 749.48 kWhRoom Size: 111 to 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
Voltas 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,"₹39,490",4.1,Annual Electricity Consumption: 759.07 kWhRoom Size: 111 to 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor
"Haier Frost Self-Clean 2023 Model 1.5 Ton 5 Star Split Inverter Intelli Convertible 7-in-1, Cooling at...","₹39,490",4,Annual Electricity Consumption: 743.05 kWhRoom Size: 111 to 150 sqft5 Years Comprehensive Warranty and 12 Years Compressor Warranty
Godrej Turbo Mode 2023 Model 1.5 Ton 3 Star Window with Anti Corrosive Blue Fin AC  - White,"₹25,829",3.9,Annual Electricity Consumption: 1216.12 kWhRoom Size: 111 to 150 sqft1 Year Comprehensive Warranty on AC and 5 Years Warranty on Compressor
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filt...","₹44,490",4.1,"Annual Electricity Consumption: 685.26 kWhRoom Size: 111 to 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging"
Panasonic 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,"₹28,990",4.3,"Annual Electricity Consumption: 676.37 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor"
CARRIER Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Flexicool Inverter Dual Filtrati...,"₹41,999",4.1,"Annual Electricity Consumption: 754.05 kWhRoom Size: 111 to 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor"
